Name,Time Attended
Willie James,"6 days, 3:02:54"
Dwight Hernandez,1:00:00
Johnni White,1:00:00
Leslie Harvey,"6 days, 3:02:50"
Chad Holt,"6 days, 3:01:01"
Jean Rodriquez,"6 days, 3:02:40"
Luis Jacobs,"6 days, 3:02:30"
Marc Washington,"6 days, 3:02:29"
Mattie Martin,"6 days, 3:01:49"
Bonnie Elliott,1:02:21
Lydia Chapman,"6 days, 2:59:42"
Levi Walters,"6 days, 3:01:18"
Flenn Fowler,"6 days, 3:01:15"
Edward Nguyen,"6 days, 3:00:51"
Edith Henderson,1:02:01
Ted Fernandez,"6 days, 3:01:02"
Nathaniel Rivera,"6 days, 3:55:34"
Felicia Dixon,1:01:54
Jean Stone,"6 days, 2:59:59"
Beverly Webb,"6 days, 3:00:27"
Isabella Craig,"6 days, 2:57:03"
Dwight Snyder,"6 days, 3:00:21"
Ronnie Fox,"6 days, 2:59:44"
Philip Carter,1:01:17
Leslie Nichols,"6 days, 2:59:43"
Violet Perry,"6 days, 2:47:02"
Kirk Allen,0:03:51
Alma Rhodes,1:00:30
Dwayne Garcia,"6 days, 2:59:24"
Dwayne Rose,0:59:54
Andy Anderson,0:59:58
Terri Jones,"6 days, 2:58:55"
John Frazier,0:59:21
Everett James,0:58:31
Allison Caldwell,0:57:02
Francis Rodriguez,0:58:05
Aaron Rodriguez,0:57:53
Justin Austin,"6 days, 2:56:51"
Leonard Castro,0:57:38
Corey Banks,"6 days, 2:47:12"
Ian Gomez,0:49:48
Ashley Anderson,"6 days, 2:55:33"
Terrence Romero,"6 days, 2:55:25"
Marshall Washington,"6 days, 2:54:16"
Tiffany Robinson,0:54:51
Tyrone Rogers,0:50:04
Adam Richards,"6 days, 2:53:15"
Johnny Jacobs,"6 days, 2:52:31"
Cameron Young,"6 days, 2:52:17"
Clinton Andrews,"6 days, 2:52:15"
Lucille Washington,"6 days, 2:45:25"
Devon Hamilton,"6 days, 2:49:47"
Russell Wallace,0:50:54
Greg Stephens,0:50:22
Alex Wallace,0:50:19
Kenneth Parker,"6 days, 2:45:16"
Marian Perez,"6 days, 2:23:13"
Frederick Gilbert,"6 days, 2:02:16"
