Name,Time Attended
Willie James,1:02:54
Dwight Hernandez,1:03:54
Johnni White,1:03:54
Leslie Harvey,1:02:50
Chad Holt,1:01:01
Jean Rodriquez,1:02:40
Luis Jacobs,1:02:30
Marc Washington,1:02:29
Mattie Martin,1:01:49
Bonnie Elliott,1:02:21
Lydia Chapman,0:59:42
Levi Walters,1:01:18
Flenn Fowler,1:01:15
Edward Nguyen,1:00:51
Edith Henderson,1:02:01
Ted Fernandez,1:01:02
Nathaniel Rivera,1:55:34
Felicia Dixon,1:01:54
Jean Stone,0:59:59
Beverly Webb,1:00:27
Isabella Craig,0:57:03
Dwight Snyder,1:00:21
Ronnie Fox,0:59:44
Philip Carter,1:01:17
Leslie Nichols,0:59:43
Violet Perry,0:47:02
Kirk Allen,0:03:51
Alma Rhodes,1:00:30
Dwayne Garcia,0:59:24
Dwayne Rose,0:59:54
Andy Anderson,0:59:58
Terri Jones,0:58:55
John Frazier,0:59:21
Everett James,0:58:31
Allison Caldwell,0:57:02
Francis Rodriguez,0:58:05
Aaron Rodriguez,0:57:53
Justin Austin,0:56:51
Leonard Castro,0:57:38
Corey Banks,0:47:12
Ian Gomez,0:49:48
Ashley Anderson,0:55:33
Terrence Romero,0:55:25
Marshall Washington,0:54:16
Tiffany Robinson,0:54:51
Tyrone Rogers,0:50:04
Adam Richards,0:53:15
Johnny Jacobs,0:52:31
Cameron Young,0:52:17
Clinton Andrews,0:52:15
Lucille Washington,0:45:25
Devon Hamilton,0:49:47
Russell Wallace,0:50:54
Greg Stephens,0:50:22
Alex Wallace,0:50:19
Kenneth Parker,0:45:16
Marian Perez,0:23:13
Frederick Gilbert,0:02:16
